selector,name,label,action
mainlogo,SEMAWorthyFacebookApplicaton,Click - Dodge Logo,Dodge Logo
secondarylogo,SEMAWorthyFacebookApplicaton,Click - Mopar Logo,Mopar Logo
semalogo,SEMAWorthyFacebookApplicaton,Click - SEMA Logo,SEMA Logo
fblike,SEMAWorthyFacebookApplicaton,Click - Like on Facebook,Like on FB
viewentries,SEMAWorthyFacebookApplicaton,Click - View Entries,View Entries
addcar,SEMAWorthyFacebookApplicaton,Click - Add Your SEMA Worthy Car,Add Your SEMA worthy car
thumbup,SEMAWorthyFacebookApplicaton,Click - Vote,Vote Worthy Thumb
thumbdown,SEMAWorthyFacebookApplicaton,Click - Vote,Vote Not Worthy Thumb
thumbuptext,SEMAWorthyFacebookApplicaton,Click - Vote,Vote Worthy Text
thumbdowntext,SEMAWorthyFacebookApplicaton,Click - Vote,Vote Not Worthy Text
fbshare,SEMAWorthyFacebookApplicaton,Click - Share This Car on Facebook,Facebook Share
buildmyownlink,SEMAWorthyFacebookApplicaton,Click - Build My Own,Build My Own
currentofferslink,SEMAWorthyFacebookApplicaton,Click - See Current Offers,See Current Offers
dodgecomlink,SEMAWorthyFacebookApplicaton,Click - Dodge.com Link,Bottom Left Dodge
eventdetails,SEMAWorthyFacebookApplicaton,Click - Event Details,Bottom Right SEMA
nextcar,SEMAWorthyFacebookApplicaton,Click - Next Car,View Next Car
submitphoto,SEMAWorthyFacebookApplicaton,Click - Submit Photo,Submit Photo
sharefbtop,SEMAWorthyFacebookApplicaton,Click - Share,Facebook top
sharetwitter,SEMAWorthyFacebookApplicaton,Click - Share,Twitter
shareemail,SEMAWorthyFacebookApplicaton,Click - Share,Email
